params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.529,0.824,0.625,0.562,0.649,3
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,11
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.471,0.706,0.562,0.562,0.601,35
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.647,0.471,0.647,0.688,0.438,0.578,41
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.471,0.706,0.688,0.5,0.614,27
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.647,0.471,0.588,0.625,0.438,0.554,65
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.647,0.471,0.588,0.625,0.5,0.566,59
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.647,0.529,0.647,0.625,0.438,0.577,51
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.529,0.824,0.625,0.562,0.649,3
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,11
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.471,0.706,0.562,0.562,0.601,35
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.647,0.471,0.647,0.688,0.438,0.578,41
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.471,0.706,0.688,0.5,0.614,27
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.647,0.471,0.588,0.625,0.438,0.554,65
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.647,0.471,0.588,0.625,0.5,0.566,59
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.647,0.529,0.647,0.625,0.438,0.577,51
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.529,0.824,0.688,0.562,0.662,1
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.706,0.625,0.625,0.638,9
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.471,0.706,0.625,0.562,0.614,27
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.647,0.471,0.647,0.688,0.438,0.578,41
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.647,0.471,0.588,0.625,0.438,0.554,65
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.647,0.471,0.647,0.625,0.5,0.578,41
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.647,0.529,0.647,0.625,0.438,0.577,51
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.529,0.824,0.688,0.562,0.662,1
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.706,0.625,0.625,0.638,9
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.471,0.706,0.625,0.562,0.614,27
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.647,0.471,0.647,0.688,0.438,0.578,41
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.647,0.471,0.588,0.625,0.438,0.554,65
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.647,0.471,0.647,0.625,0.5,0.578,41
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.647,0.529,0.647,0.625,0.438,0.577,51
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.529,0.824,0.625,0.562,0.649,3
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,11
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.471,0.706,0.562,0.562,0.601,35
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.647,0.471,0.647,0.688,0.438,0.578,41
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.471,0.706,0.688,0.5,0.614,27
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.647,0.471,0.588,0.625,0.438,0.554,65
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.647,0.471,0.588,0.625,0.5,0.566,59
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.647,0.529,0.647,0.625,0.438,0.577,51
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.529,0.824,0.625,0.562,0.649,3
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,11
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.471,0.706,0.562,0.562,0.601,35
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.647,0.471,0.647,0.688,0.438,0.578,41
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.471,0.706,0.688,0.5,0.614,27
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.647,0.471,0.588,0.625,0.438,0.554,65
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.647,0.471,0.588,0.625,0.5,0.566,59
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.647,0.529,0.647,0.625,0.438,0.577,51
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.529,0.824,0.625,0.562,0.649,3
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,11
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.471,0.706,0.562,0.562,0.601,35
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.647,0.471,0.647,0.688,0.438,0.578,41
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.471,0.706,0.688,0.5,0.614,27
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.647,0.471,0.588,0.625,0.438,0.554,65
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.647,0.471,0.588,0.625,0.5,0.566,59
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.647,0.529,0.647,0.625,0.438,0.577,51
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.706,0.529,0.824,0.625,0.562,0.649,3
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.706,0.529,0.765,0.562,0.625,0.638,11
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.706,0.471,0.706,0.562,0.562,0.601,35
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.647,0.471,0.647,0.688,0.438,0.578,41
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.706,0.471,0.706,0.688,0.5,0.614,27
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.706,0.471,0.706,0.688,0.562,0.626,17
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.647,0.471,0.588,0.625,0.438,0.554,65
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.647,0.471,0.588,0.625,0.5,0.566,59
"{'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.647,0.529,0.647,0.625,0.438,0.577,51
